source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,35,220.0,-73.212903976,0.081309891209,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895707900896,0.0018751593159999913,37.10979999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,36,216.0,-73.58327293396,0.083166017648,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689579599967,0.0018561264390000026,34.1214
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,37,212.0,-73.953641891,0.085256392579,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895704000017,0.0020903749310000053,33.266799999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,38,208.0,-74.324010849,0.08753343922,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002277046640999994,33.3102
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,39,204.0,-74.694379807,0.089853289985,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002319850765000006,36.9626
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,40,200.0,-75.064748764,0.092096108994,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002242819009000002,31.242700000000003
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,41,196.0,-75.435117722,0.094156718964,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002060609970000002,32.6661
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,42,192.0,-75.805486679,0.09616075472134,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020040357573399975,36.868300000000005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,43,188.0,-76.175855637,0.098246177158,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020854224366600033,37.7765
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,44,184.0,-76.546224594,0.10049517565982,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0022489985018199904,37.6887
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,45,180.0,-76.916593552,0.10277874912,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0022835734601800023,27.821399999999997
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,46,176.0,-77.286962509,0.10498215879,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0022034096700000033,42.053599999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,47,172.0,-77.657331467,0.10713701202,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0021548532300000034,42.1689
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,48,168.0,-78.027700424,0.1092522648,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002115252779999993,32.5202
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,49,164.0,-78.398069382,0.11112999912,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018777343200000046,35.2274
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,50,160.0,-78.768438339,0.11300861769,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018786185699999902,40.016799999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,51,156.0,-79.138807296753,0.11490353349,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689577530014,0.0018949158000000077,71.3801
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,52,152.0,-79.509176254,0.11686453438,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689572469955,0.0019610008899999948,74.168
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,53,148.0,-79.879545211792,0.11879073324,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689577920102,0.0019261988600000057,32.3967
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,54,144.0,-80.249914169,0.12077314572,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689572079867,0.001982412480000001,36.5779
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,55,140.0,-80.620283127,0.12253257703,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0017594313100000036,48.2615
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,56,136.0,-80.990652084,0.12433661662,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0018040395900000006,42.929199999999994
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,57,132.0,-81.361021042,0.12616696131,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018303446899999853,32.28639999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,58,128.0,-81.731389999,0.1280395031,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018725417900000152,27.8948
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,59,124.0,-82.101758957,0.12994421005,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019047069500000013,26.76
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,60,120.0,-82.472127914,0.13177639241,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018321823599999898,29.316
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,61,116.0,-82.842496872,0.13381067214,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002034279730000005,31.918400000000002
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,62,112.0,-83.212865829,0.13573412636,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019234542200000093,33.936600000000006
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,63,108.0,-83.583234787,0.13759619439,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001862068029999997,41.2858
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,64,104.0,-83.953603745,0.13934932642,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001753132029999993,44.919900000000005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,65,100.0,-84.323972702,0.14110324652585,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0017539201058499876,49.992399999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,66,96.0,-84.694341659546,0.14297108942,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895754599186,0.0018678428941500125,53.983
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,67,92.0,-85.064710617,0.14480795727,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.370368957454005,0.0018368678500000069,44.933299999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,68,88.0,-85.435079574585,0.1466884222,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895758500066,0.001880464929999992,32.4055
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,69,84.0,-85.805448532,0.14864367094,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689574149962,0.0019552487399999985,36.5974
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,70,80.0,-86.17581749,0.15059688327,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019532123300000093,42.820299999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,71,76.0,-86.546186447,0.15259599488,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.001999111609999993,39.092
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,72,72.0,-86.916555405,0.1545924469,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019964520200000113,35.66859999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,73,68.0,-87.286924362,0.15664971619,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020572692899999967,35.796
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,74,64.0,-87.65729332,0.15867127801,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020215618199999896,31.2892
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,75,60.0,-88.027662277,0.16070172601,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0020304479999999903,30.408499999999993
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,76,56.0,-88.398031235,0.16276042424,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020586982300000167,30.382399999999997
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,77,52.0,-88.768400192,0.16479528263,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002034858390000005,35.1082
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,78,48.0,-89.13876915,0.16678614389,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019908612599999764,37.5017
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,79,44.0,-89.509138107,0.16880621186,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020200679700000113,37.3224
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,80,40.0,-89.879507065,0.17089432589,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020881140300000045,40.82769999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,81,36.0,-90.249876022,0.17298256199,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020882361000000016,42.2757
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,82,32.0,-90.62024498,0.17511575797,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002133195980000002,50.9895
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,83,28.0,-90.990613937378,0.17737765009,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895737800535,0.0022618921199999975,42.56720000000001
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,84,24.0,-91.360982895,0.17969985533,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689576220057,0.002322205239999986,40.2632
