source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm,projection_label,projection_pitch,projection_mu_density_proxy,projection_aperture_change,projection_leaf_travel,projection_leaf_travel_mlcx1,projection_leaf_travel_mlcx2
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,51,156.0,-79.138807296753,0.11490353349,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689577530014,0.0018949158000000077,71.3801,50→51,0.09259223943825035,0.005116292173880633,84.68123297988745,360.76484598125637,175.61163979454193,185.1532061867144
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,52,152.0,-79.509176254,0.11686453438,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689572469955,0.0019610008899999948,74.168,51→52,0.09259223931174887,0.0052947226046599315,7.527358720133729,290.1552570679755,115.69598143027851,174.459275637697
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,53,148.0,-79.879545211792,0.11879073324,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689577920102,0.0019261988600000057,32.3967,52→53,0.09259223944800254,0.005200756757486436,112.78294014979977,555.479868578873,254.3326000147631,301.14726856411
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,54,144.0,-80.249914169,0.12077314572,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689572079867,0.001982412480000001,36.5779,53→54,0.09259223930199667,0.005352534118799663,11.289283074693477,468.02005574851154,231.5450534690512,236.47500227946034
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,55,140.0,-80.620283127,0.12253257703,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0017594313100000036,48.2615,54→55,0.09259223950000006,0.004750482652490553,31.545840296907365,442.14639608106654,305.63495550833915,136.51144057272737
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,56,136.0,-80.990652084,0.12433661662,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0018040395900000006,42.929199999999994,55→56,0.0925922392500027,0.004870925480938587,14.397264941402332,240.187516579575,123.98420313611396,116.20331344346104
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,57,132.0,-81.361021042,0.12616696131,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018303446899999853,32.28639999999999,56→57,0.09259223950000006,0.004941949508630214,28.735669580602362,225.73868083188535,105.75751329570113,119.9811675361842
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,58,128.0,-81.731389999,0.1280395031,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018725417900000152,27.8948,57→58,0.09259223924999915,0.005055882126751871,11.857365248891616,286.4052129509358,159.2846778462606,127.12053510467517
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,59,124.0,-82.101758957,0.12994421005,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019047069500000013,26.76,58→59,0.09259223950000006,0.005142728376280391,3.0639716841496143,296.11660921107733,170.33284954728833,125.78375966378901
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,60,120.0,-82.472127914,0.13177639241,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018321823599999898,29.316,59→60,0.09259223924999915,0.004946911249908039,6.901226335769876,197.20821256626175,83.78644973747159,113.42176282879016
